Rotation,Scale,name_of_to,district,state,ELEVATION,Lat,Long
0,0.000000000000000,KHAMOR,BHILWARA,RAJASTHAN,0,25.7535000,74.7885971
0,0.000000000000000,DABLA,BHILWARA,RAJASTHAN,0,25.7285004,74.7333984
0,0.000000000000000,RUPAHELI KALAN,BHILWARA,RAJASTHAN,0,25.7905998,74.6404037
0,0.000000000000000,AGUCHA,BHILWARA,RAJASTHAN,0,25.8241005,74.7180023
0,0.000000000000000,KOTHIYAN,BHILWARA,RAJASTHAN,0,25.8574009,74.8154984
0,0.000000000000000,RAMGARH,AJMER,RAJASTHAN,0,25.9706001,74.4488983
0,0.000000000000000,PARASOLI,BHILWARA,RAJASTHAN,0,25.7730007,74.3324966
0,0.000000000000000,ASRUD,BHILWARA,RAJASTHAN,0,25.7367001,74.3303986
0,0.000000000000000,BAR,PALI,RAJASTHAN,0,26.0979996,74.1097031
0,0.000000000000000,BILRANUYA KHURD,PALI,RAJASTHAN,0,26.1319008,74.1434021
0,0.000000000000000,CHITAR,PALI,RAJASTHAN,0,26.1410007,74.2192993
0,0.000000000000000,TANTAIL,AJMER,RAJASTHAN,0,26.1541004,74.8090973
0,0.000000000000000,NIMAL,PALI,RAJASTHAN,0,26.1646996,74.0143967
0,0.000000000000000,KUSHALPURA,PALI,RAJASTHAN,0,26.1021996,73.9582977
0,0.000000000000000,GIRRI,PALI,RAJASTHAN,0,26.1865997,74.1679001
0,0.000000000000000,ASALAI,PALI,RAJASTHAN,0,26.2315006,74.0491028
0,0.000000000000000,LAMINA,AJMER,RAJASTHAN,0,26.2492008,74.4847031
0,0.000000000000000,SABRA,PALI,RAJASTHAN,0,26.2507000,74.2524033
0,0.000000000000000,BANDANWARA,AJMER,RAJASTHAN,0,26.1436005,74.7033005
0,0.000000000000000,JHARWASA,AJMER,RAJASTHAN,0,26.2154007,74.7186966
0,0.000000000000000,BERIYARI,AJMER,RAJASTHAN,0,26.0704994,74.7591019
0,0.000000000000000,NEAMAN,AJMER,RAJASTHAN,0,26.1884995,74.6727982
0,0.000000000000000,BALARA,PALI,RAJASTHAN,0,26.2989006,74.0820007
0,0.000000000000000,BHUMALIYA,PALI,RAJASTHAN,0,26.4060993,74.1485977
0,0.000000000000000,JASNAGARH(KEKIND),PALI,RAJASTHAN,0,26.4062004,74.0699005
0,0.000000000000000,SAREDHANA,AJMER,RAJASTHAN,0,26.3467007,74.5828018
0,0.000000000000000,JETHANA,AJMER,RAJASTHAN,0,26.2929993,74.4729004
0,0.000000000000000,NAGALV,AJMER,RAJASTHAN,0,26.3101006,74.4110031
0,0.000000000000000,BALUNDA,PALI,RAJASTHAN,0,26.3190994,73.9413986
0,0.000000000000000,KALU,PALI,RAJASTHAN,0,26.3656998,73.9835968
0,0.000000000000000,LOTOTI,PALI,RAJASTHAN,0,26.2810001,73.8357010
0,0.000000000000000,KHANIA,JODHPUR,RAJASTHAN,0,26.2192001,73.7429962
0,0.000000000000000,DEOLI,PALI,RAJASTHAN,0,26.0788994,73.8274994
0,0.000000000000000,PATWA,PALI,RAJASTHAN,0,26.1448002,73.8227997
